"Screen_Tech","Avg_mode_power","Star Rating Index","Screen Size (in inches)"
"LCD",14,7.1315097403651855,23.518110236220473
"LCD",14.9,5.212460574539416,18.509055118110236
"LCD",15.1,6.143886819769821,23.53307086614173
"LCD",15.3,7.535523401336893,27.024409448818897
"LCD",15.85,6.309656677494295,24.499212598425196
"LCD",15.8718,5.065515602883841,18.509055118110236
"LCD",17.766,6.014805925255865,23.55275590551181
"LCD",19.8,5.522126954239557,23.55236220472441
"LCD",20.2,5.171129579153095,23.53307086614173
"LCD",20.94,5.395247284012249,23.53307086614173
"LCD",21.6,5.015147527236708,23.553937007874016
"LCD",21.96,5.075471344694654,23.74763779527559
"LCD",22,5.063138326718788,23.53307086614173
"LCD",22,5.082021380470149,23.806299212598425
"LCD",22.1,5.121511445327967,23.55275590551181
"LCD",22.6,4.798447235076666,23.708661417322833
"LCD",23.5,6.698258847494166,31.517322834645668
"LCD",23.798,6.179725793837952,31.888582677165353
"LCD",23.8,6.749526906773145,31.512992125984255
"LCD",24.2,4.709136101392171,23.55275590551181
"LCD",24.3,6.020492681744969,31.521653543307085
"LCD",24.48,8.250935841299443,39.50905511811023
"LCD",25.08,4.498955827602561,24.264960629921262
"LCD",25.2,3.9760647614621036,21.506299212598424
"LCD",25.21,6.330835824725629,31.57086614173228
"LCD",25.3,4.563780004108044,23.55275590551181
"LCD",26.7,6.271133890295119,31.517322834645668
"LCD",27,6.182698305345105,31.512992125984255
"LCD",27,6.18269830534511,31.512992125984255
"LCD",28,6.04521473860549,31.48307086614173
"LCD",28.1,3.44650912314627,21.414173228346456
"LCD",28.2,6.007730994096279,31.511023622047244
"LCD",28.7,4.050316322792688,23.807086614173226
"LCD",29.22,5.890292548310127,31.536614173228344
"LCD",29.5,5.156154771963844,31.512992125984255
"LCD",30.28,3.8510476715487516,23.816141732283466
"LCD",31.814,5.03098766900437,31.42952755905512
"LCD",31.9,5.532205229661681,31.5507874015748
"LCD",31.92,5.447255105927289,31.511417322834646
"LCD",31.98,3.536463658690008,23.807086614173226
"LCD",32.18,5.483988771987925,31.644094488188976
"LCD",32.7,5.025863763302918,31.39527559055118
"LCD",33.6,5.156154771963844,31.512992125984255
"LCD",34.296,5.03098766900437,31.42952755905512
"LCD",34.67,5.086738931330573,31.518503937007875
"LCD",35,6.01894107318675,39.50551181102362
"LCD",35.2,5.0167187257265855,31.511417322834646
"LCD",35.2,5.017184873170333,31.512992125984255
"LCD",35.3,6.659234751103845,39.49015748031496
"LCD",35.8,6.02250331621821,39.49015748031496
"LCD",36.7,5.118073049588307,39.681496062992125
"LCD",38.2,6.404224337872835,41.50472440944882
"LCD",38.82,5.9088766847059,39.4748031496063
"LCD",39,4.561680559205172,31.511417322834646
"LCD",39.8,6.148719852583788,43.096456692913385
"LCD",39.9,6.047894906355869,39.45551181102362
"LCD",40,6.082256469696936,39.49015748031496
"LCD",40.1,6.233877748445914,42.5011811023622
"LCD",41.95,5.908618544413956,39.5007874015748
"LCD",42.3,6.2175519584591425,41.494488188976376
